year,president,document_type,n_sentences,n_energy,estimate
1946,Harry S Truman,written,1196,3,0.0025
1947,Harry S Truman,speech,289,7,0.0242
1948,Harry S Truman,speech,274,3,0.0109
1949,Harry S Truman,speech,183,4,0.0219
1950,Harry S Truman,speech,231,3,0.013
1951,Harry S Truman,speech,228,4,0.0175
1952,Harry S Truman,speech,289,3,0.0104
1953,Dwight D. Eisenhower,speech,337,0,0.0
1954,Dwight D. Eisenhower,speech,281,5,0.0178
1955,Dwight D. Eisenhower,speech,330,4,0.0121
1956,Dwight D. Eisenhower,speech,51,0,0.0
1957,Dwight D. Eisenhower,speech,187,4,0.0214
1958,Dwight D. Eisenhower,speech,230,2,0.0087
1959,Dwight D. Eisenhower,speech,253,1,0.004
1960,Dwight D. Eisenhower,speech,248,0,0.0
1961,John F. Kennedy,speech,191,0,0.0
1962,John F. Kennedy,speech,258,0,0.0
1963,John F. Kennedy,speech,205,1,0.0049
1964,Lyndon B. Johnson,speech,130,0,0.0
1965,Lyndon B. Johnson,speech,251,0,0.0
1966,Lyndon B. Johnson,speech,243,0,0.0
1967,Lyndon B. Johnson,speech,335,2,0.006
1968,Lyndon B. Johnson,speech,206,1,0.0049
1969,Lyndon B. Johnson,speech,187,0,0.0
1970,Richard M. Nixon,speech,191,1,0.0052
1971,Richard M. Nixon,speech,172,0,0.0
1972,Richard M. Nixon,speech,157,0,0.0
1973,Richard M. Nixon,written,59,0,0.0
1974,Richard M. Nixon,speech,202,9,0.0446
1975,Gerald R. Ford,speech,214,36,0.1682
1976,Gerald R. Ford,speech,267,6,0.0225
1977,Gerald R. Ford,speech,210,9,0.0429
1978,Jimmy Carter,speech,244,8,0.0328
1979,Jimmy Carter,speech,160,1,0.0063
1980,Jimmy Carter,speech,162,21,0.1296
1981,Ronald Reagan,speech,217,4,0.0184
1982,Ronald Reagan,speech,237,1,0.0042
1983,Ronald Reagan,speech,255,0,0.0
1984,Ronald Reagan,speech,285,0,0.0
1985,Ronald Reagan,speech,217,1,0.0046
1986,Ronald Reagan,speech,170,1,0.0059
1987,Ronald Reagan,speech,192,0,0.0
1988,Ronald Reagan,speech,215,0,0.0
1989,George Bush,speech,278,4,0.0144
1990,George Bush,speech,193,0,0.0
1991,George Bush,speech,223,2,0.009
1992,George Bush,speech,307,0,0.0
1993,William J. Clinton,speech,284,4,0.0141
1994,William J. Clinton,speech,389,0,0.0
1995,William J. Clinton,speech,447,0,0.0
1996,William J. Clinton,speech,351,0,0.0
1997,William J. Clinton,speech,340,1,0.0029
1998,William J. Clinton,speech,358,2,0.0056
1999,William J. Clinton,speech,376,1,0.0027
2000,William J. Clinton,speech,476,5,0.0105
2001,George W. Bush,speech,271,6,0.0221
2002,George W. Bush,speech,209,1,0.0048
2003,George W. Bush,speech,294,4,0.0136
2004,George W. Bush,speech,271,1,0.0037
2005,George W. Bush,speech,231,2,0.0087
2006,George W. Bush,speech,272,10,0.0368
2007,George W. Bush,speech,278,15,0.054
2008,George W. Bush,speech,304,9,0.0296
2009,Barack Obama,speech,278,11,0.0396
2010,Barack Obama,speech,405,13,0.0321
2011,Barack Obama,speech,373,13,0.0349
2012,Barack Obama,speech,410,23,0.0561
2013,Barack Obama,speech,352,16,0.0455
2014,Barack Obama,speech,350,15,0.0429
2015,Barack Obama,speech,359,9,0.0251
2016,Barack Obama,speech,337,10,0.0297
2017,Donald Trump,speech,275,3,0.0109
2018,Donald Trump,speech,352,2,0.0057
2019,Donald Trump,speech,357,1,0.0028
2020,Donald Trump,speech,374,2,0.0053
