year,estimate,mean_projection
1946,0.0134,0.01716
1947,0.0242,0.00999
1948,0.0328,0.00994
1949,0.0656,0.02861
1950,0.0476,0.01398
1951,0.0263,0.00474
1952,0.0381,0.02083
1953,0.0089,0.00202
1954,0.0142,0.01646
1955,0.0242,0.01181
1956,0.0000,0.01656
1957,0.0321,0.00792
1958,0.0130,0.02174
1959,0.0119,0.00478
1960,0.0242,0.01614
1961,0.0157,0.02043
1962,0.0039,0.00426
1963,0.0098,-0.01301
1964,0.0077,0.00794
1965,0.0159,0.00099
1966,0.0123,-0.01691
1967,0.0060,0.00763
1968,0.0049,0.02599
1969,0.0000,-0.01132
1970,0.0314,0.01022
1971,0.0000,-0.00052
1972,0.0000,-0.00315
1973,0.0000,-0.00110
1974,0.0941,0.02789
1975,0.2290,0.09880
1976,0.0300,0.00371
1977,0.0810,0.02342
1978,0.0533,0.03174
1979,0.0000,0.01710
1980,0.1296,0.06126
1981,0.0184,0.04290
1982,0.0169,0.00420
1983,0.0078,0.00933
1984,0.0281,0.00768
1985,0.0092,0.00522
1986,0.0118,-0.00478
1987,0.0052,-0.01093
1988,0.0000,-0.01066
1989,0.0360,0.01961
1990,0.0000,-0.00846
1991,0.0045,-0.00114
1992,0.0065,0.01981
1993,0.0387,0.02680
1994,0.0077,-0.00177
1995,0.0022,-0.00716
1996,0.0199,0.01145
1997,0.0176,0.00441
1998,0.0196,0.01092
1999,0.0080,0.00324
2000,0.0231,0.01884
2001,0.0369,0.00583
2002,0.0191,-0.02136
2003,0.0340,-0.00343
2004,0.0074,-0.02836
2005,0.0260,-0.02097
2006,0.0478,-0.01443
2007,0.0540,0.00119
2008,0.0362,0.00356
2009,0.0504,0.02170
2010,0.0346,0.02089
2011,0.0429,0.03795
2012,0.0854,0.04884
2013,0.0682,0.03670
2014,0.0657,0.02908
2015,0.0390,0.02011
2016,0.0415,0.01901
2017,0.0182,-0.00980
2018,0.0199,-0.00700
2019,0.0140,-0.00863
2020,0.0053,-0.01291
