year,estimate
1946,0.013
1947,0.024
1948,0.033
1949,0.066
1950,0.048
1951,0.026
1952,0.038
1953,0.009
1954,0.014
1955,0.024
1956,0.000
1957,0.032
1958,0.013
1959,0.012
1960,0.024
1961,0.016
1962,0.004
1963,0.010
1964,0.008
1965,0.016
1966,0.012
1967,0.006
1968,0.005
1969,0.000
1970,0.031
1971,0.000
1972,0.000
1973,0.000
1974,0.094
1975,0.229
1976,0.030
1977,0.081
1978,0.053
1979,0.000
1980,0.130
1981,0.018
1982,0.017
1983,0.008
1984,0.028
1985,0.009
1986,0.012
1987,0.005
1988,0.000
1989,0.036
1990,0.000
1991,0.004
1992,0.006
1993,0.039
1994,0.008
1995,0.002
1996,0.020
1997,0.018
1998,0.020
1999,0.008
2000,0.023
2001,0.037
2002,0.019
2003,0.034
2004,0.007
2005,0.026
2006,0.048
2007,0.054
2008,0.036
2009,0.050
2010,0.035
2011,0.043
2012,0.085
2013,0.068
2014,0.066
2015,0.039
2016,0.042
2017,0.018
2018,0.020
2019,0.014
2020,0.005
